User,IP,Wallet,User Agent,Referer,URL,Title,Field,Seniority,Position,Skill,Employment Type,Education Level,Country Code,Country,Latitude,Longitude
c4010cee-deb6-4c1f-b391-6e595af83084,154.211.4.101,1143333afce6f81c67a1c6fe95412fff5211b9f127dd06fbcc574b6264812392,Opera/9.80 (X11; Linux i686; Ubuntu/14.10) Presto/2.12.388 Version/12.16,http://abernathy.co/margaretta,http://littel.info/annika,Corporate Consultant,Hospitality,Internal,Specialist,Fast learner,Internship,Bachelor,BO,Bolivia,-33.25158929566295,142.62978280550317
ec0acdc3-fda5-47a8-aa86-d00f64906227,22.6.148.151,3baee13e2d37cd3e72503788f396703cd3e7170bb49269c8c773fc39fd55bbd9,Opera/9.80 (X11; Linux i686; Ubuntu/14.10) Presto/2.12.388 Version/12.16,http://friesen.name/king.stoltenberg,http://cummerata.biz/rigoberto,Construction Producer,IT,Customer,Architect,Leadership,Temporary,Master,EC,Ecuador,-12.730700434295812,177.01691739911485
1ee39afa-2ee6-4d3a-93cf-a22f71eaeb8d,221.157.137.209,774f71baca05a2435eb40b3e29e4d5350a4b664c48d949d633dda67d913d8ebb,Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0,http://ondricka-kilback.info/carlene,http://mitchell-orn.biz/claudio,Forward Retail Supervisor,Hospitality,Product,Architect,Technical savvy,Contract,Master,GB,United Kingdom,-34.303149628443265,-73.38970695277517
b675bfb0-3999-4850-9c14-2e3c863a5128,20.48.190.245,25b0076005c674527812e9b7c1cb2dac1ff661f38d1a1afe7f10f7478d28920b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",http://harber.biz/dorla_ebert,http://macejkovic.net/precious.pagac,Central Agent,Sales,Regional,Director,Teamwork,Part-time,Master,FI,Finland,50.372597145627196,-144.3276943676562
6f0a4297-d7d0-4222-8f06-950fb2b8e24e,122.83.144.164,64ac90f6d645854a3ecd3456aeb54f4c7f1e400fa50267aaf571c65942cf0c09,Opera/9.80 (X11; Linux i686; Ubuntu/14.10) Presto/2.12.388 Version/12.16,http://oberbrunner.io/wilson,http://damore.co/gaston_bailey,Direct Design Architect,Education,Principal,Consultant,Work under pressure,Temporary,Bachelor,IM,Isle of Man,-58.73493107739016,167.61611734949946
dae85e85-e1e3-4f41-a350-ed4a6a85241c,220.20.165.64,fd00306165c3eb3f52c1a8516fd0f23a58ec6124f1259a9d665d80b6561d0c53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",http://wehner.net/jordan.fadel,http://wisoky-jones.io/alayna_flatley,Marketing Specialist,Construction,Forward,Coordinator,Problem solving,Contract,Master,SD,Sudan,-82.08236723272017,-142.6478516333711
3743f869-fdfc-4f74-9613-860c35326896,131.181.19.202,f025901a39dc5a6d6ce1ad503be9251e06218a667d0beea1f2ff4f8510cb0d95,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,http://emard-renner.biz/jaime.hand,http://hirthe.com/vaughn_dubuque,Advertising Consultant,Technology,Senior,Representative,Teamwork,Internship,Bachelor,JM,Jamaica,-18.25492809195167,133.64310523732615
24c8e940-f6c9-4099-8782-0d87f16b8347,141.41.225.68,b595d4fa488677fe98521bfaf2e7b8d994572d4d3209ba49dc4931b0fe2dcf99,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,http://satterfield.com/dinah,http://mckenzie.co/kera,Future IT Specialist,Construction,Lead,Strategist,Communication,Part-time,Doctorate,JE,Jersey,-82.67184134278261,-32.41148543014407
7c872192-dc28-4e28-94f6-cba5b5c1801a,114.126.27.225,a05c974dc3d4b996e43b9b385c64ea35bcdae6b6ce00f8cdf371475e548590bf,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",http://graham-mueller.biz/ronald,http://schowalter-heathcote.org/collin.kunde,Global Education Developer,Real-Estate,Global,Coordinator,Organisation,Temporary,Doctorate,BZ,Belize,37.666364837163,162.8579425340086
f255103f-e068-44e2-9606-184306fc78c1,180.60.170.69,e014ef02912da64bd7ed79921405c80a20742c07c94e6c461a865130b1603e0d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",http://yundt.info/bradford.jakubowski,http://mosciski-mccullough.net/ambrose,Education Analyst,Consulting,District,Analyst,Organisation,Part-time,Bachelor,GP,Guadeloupe,-43.732170055629105,-72.33786523221414
